,type,sym1,tongue,pulse,disease,sym2,treat,herb,herb_all,note,sym_all,sym_cnt,match_cnt,match_ratio
0,心氣虛證,"心悸,怔仲,氣短乏力,胸悶不適,神疲自汗",舌淡、苔薄,脈細弱,驚悸,"心中空虛,惶惶不安,多畏善恐,惕然而驚,神疲乏力",治宜養心益氣、安神定悸,養心湯(《證治準繩》),"1.養心湯(《證治準繩》)<炙黃芪、茯神、茯苓、半夏粬、當歸、川芎、炒遠志、炒酸棗仁、肉桂、柏子仁、五味子、人參、炙甘草、生薑、大棗>。
2. 歸脾湯(《婦人良方》) <黃芪、人參、白朮、茯神、龍眼肉、酸棗仁、木香、​炙甘草、當歸、遠志、大棗、生薑>。",,"['胸悶不適', '怔仲', '多畏善恐', '心中空虛', '心悸', '神疲自汗', '惕然而驚', '氣短乏力', '惶惶不安', '神疲乏力']",10,,
1,心血虛證,"心悸,怔忡,心煩失眠,多夢,易驚",舌色淡,脈細弱,心悸,"心悸,善忘,心煩,少寐,頭暈",治宜養陰補血,四物湯(《和劑局方》),四物湯(《和劑局方》)<熟地、當歸、川芎、芍藥>加酸棗仁、柏子仁、遠志。,,"['多夢', '善忘', '易驚', '心煩', '頭暈', '心悸', '怔忡', '心煩失眠', '少寐']",9,,
2,心陰虛證,"心悸,怔忡,胸痛胸悶,健忘,失眠",舌紅少津,脈細數,不寐,"心悸,五心煩熱,不易入睡,舌紅",治宜滋陰清熱,交泰丸(《韓氏醫通》》,"1.         交泰丸(《韓氏醫通》》[生川連、肉桂心]。
2. 黃連阿膠湯(《傷寒論》)[黃連、黃芩、芍藥、雞子黃、阿膠]。",,"['五心煩熱', '心悸', '胸痛胸悶', '怔忡', '健忘', '不易入睡', '舌紅', '失眠']",8,,
3,心陽虛證,"心悸,心中空虛,惕惕而動,心胸憋悶,形寒肢冷",舌淡、苔白、舌體胖嫩,脈細弱、脈結代、脈遲,心悸,"心悸,心中空虛,驚惕而動",治宜溫通心陽,桂枝甘草龍骨牡蠣湯《傷寒論》,"桂枝甘草龍骨牡蠣湯(《傷寒論》)<桂枝、甘草、牡蠣、龍骨>。
。",,"['惕惕而動', '心中空虛', '心悸', '形寒肢冷', '驚惕而動', '心胸憋悶']",6,,
4,心陽暴脫證,"先有心悸氣短,動則尤甚,畏寒,面色晦滯,心胸憋悶",舌淡、舌紫暗胖嫩、,脈沉細、脈結代、脈微欲絕,胸痹,"胸痛徹背,心悸氣短,面色蒼白,喘息不得臥,大汗淋漓",治宜回陽救逆,參附龍牡湯(《中醫症狀鑒別診斷學》),1.參附龍牡湯(《中醫症狀鑒別診斷學》)<參附湯（人參、附子、生薑、大棗）加龍骨、牡蠣>。,,"['心悸氣短', '喘息不得臥', '胸痛徹背', '畏寒', '面色晦滯', '面色蒼白', '動則尤甚', '先有心悸氣短', '大汗淋漓', '心胸憋悶']",10,,
5,心血氣虛兩證,"心悸,氣短,自汗,憋悶,倦怠乏力",舌質淡,脈弱,心悸,"心悸不寧,自覺心中空虛,面色晄白,神疲體倦,自汗",治宜補氣養血、養心寧神,歸脾湯(《濟生方》),歸脾湯(《濟生方》)：<甘草、生薑、大棗、白朮、當歸、茯神、黃耆、龍眼肉、木香、人參、酸棗仁、遠志>。,,"['自汗', '面色晄白', '心悸不寧', '心悸', '氣短', '倦怠乏力', '憋悶', '自覺心中空虛', '神疲體倦']",9,,
6,心氣陰兩虛證,"心悸怔忡,氣短乏力,心神不寧,失眠,虛煩",舌邊尖紅、舌苔少、舌質淡而光剝,脈細數、脈結代,心悸,"心中動悸,惕惕不安,氣短胸悶,手足心熱,多夢",治宜益氣養陰而寧心,天王補心丹(《世醫得效方》),天王補心丹(《世醫得效方》)：<生地黃、人參、茯苓、遠志、石菖蒲、玄參、柏子仁、桔梗、天門冬、丹參、酸棗仁、甘草、麥門冬、百部、杜仲、茯神、五味子、當歸>,,"['多夢', '心神不寧', '心悸怔忡', '虛煩', '氣短乏力', '心中動悸', '氣短胸悶', '失眠', '手足心熱', '惕惕不安']",10,,
7,心火亢盛證,"口舌生瘡,心中煩熱,急躁失眠,口渴,欲冷飲",舌紅,脈數,血淋,"尿血,口舌糜爛,心中煩熱,吐血,衄血",治宜清心瀉火、涼血止血,導赤散(《小兒藥證直訣》)：,"1.   導赤散(《小兒藥證直訣》)：<淡竹葉、生地黃、甘草、木通>。
2.尿血多者、宜小薊飲子(《濟生方》)：<梔子、甘草、淡竹葉、當歸、滑石、木通、蒲黃、生地黃、小薊、藕節>。",,"['口舌生瘡', '欲冷飲', '口渴', '心中煩熱', '衄血', '急躁失眠', '吐血', '尿血', '口舌糜爛']",9,,
8,心脈痹阻證,"胸悶不舒,心痛,心前區痛,胸骨後痛,引臂內側痛",舌質紫黯、舌邊有瘀斑,脈澀、脈結代、脈沉弦,胸痹,"胸悶氣憋,隱隱作痛,心悸,舌苔薄,舌苔膩",治當通陽、宣痹、散寒,栝蔞薤白半夏湯(《金匱要略》)：,"1. 栝蔞薤白半夏湯(《金匱要略》)：<栝蔞實、薤白、半夏、白酒>。
2.烏頭赤石脂丸(《金匱要略》)：<蜀椒、烏頭、附子、乾薑、赤石脂>加入丹參、紅花、桃仁、香附等活血理氣之品。",,"['胸骨後痛', '胸悶不舒', '引臂內側痛', '心悸', '心前區痛', '舌苔膩', '舌苔薄', '心痛', '隱隱作痛', '胸悶氣憋']",10,,
9,痰火擾心證,"心悸,心煩,面赤,口乾,失眠多夢",舌苔黃膩,脈滑數,癲狂,"心煩,心悸,胡言亂語,狂躁妄動,大便乾",治宜滌痰清火、鎮心安神,生鐵落飲(《醫學心悟》),生鐵落飲(《醫學心悟》)：<天冬（去心）、麥冬（去心）、貝母、膽星、橘紅、遠志肉、石菖蒲、連翹、茯苓、茯神、元參、鉤藤、丹參、辰砂、生鐵落>。,,"['面赤', '胡言亂語', '心煩', '心悸', '口乾', '狂躁妄動', '大便乾', '失眠多夢']",8,,
