name,description,solution,herb
心氣虛證,心悸、怔仲、氣短乏力，氣短乏力活動後甚、胸悶不適、神疲自汗、面色光白,治宜養心益氣、安神定悸,養心湯
心血虛證,心悸、怔忡、心煩失眠、多夢、易驚、健忘、頭目眩、面色少華、唇色淡。,治宜養陰補血,四物湯
心陰虛證,心悸、怔忡、胸痛胸悶、健忘、失眠、多夢、五心煩熱、咽幹舌燥、低熱、盜汗,治宜補肝養血調經,天王補心丹
心陽虛證,心悸、心中空虛、惕惕而動、心胸憋悶、形寒肢冷、氣短息促、自汗、面色光白、倦怠無力,治宜溫通心陽,桂枝甘草龍骨牡蠣湯
心陽暴脫證,先有心悸氣短、動則尤甚、畏寒、面色晦滯、心胸憋悶、心胸作痛、突然大汗淋漓、四肢厥冷、口唇青紫、氣短息微、神志模糊、昏迷。,治宜回陽救逆,參附龍牡湯
心血氣虛兩證,心悸、氣短、自汗、憋悶、倦怠乏力、面色蒼白、失眠,治宜補氣養血、養心寧神,歸脾湯
心氣陰兩虛證,心悸怔忡、氣短乏力、心神不寧、失眠、虛煩、動則易汗、手足心熱、口乾,治宜益氣養陰而寧心,天王補心丹
心火亢盛證,口舌生瘡、心中煩熱、急躁失眠、口渴、欲冷飲、小便赤澀,治宜清心瀉火、涼血止血,導赤散
心脈痹阻證,胸悶不舒、心痛、心前區痛、胸骨後痛、引臂內側痛、痛引肩背、重則不可忍、時作時止、心悸氣短、口唇、面色、指甲青紫、,治當通陽、宣痹、散寒,栝蔞薤白半夏湯
痰火擾心證,心悸、心煩、面赤、口乾、失眠多夢、易驚、胡言亂語、哭笑無常、狂躁妄動、小便黃赤、大便乾,治宜滌痰清火、鎮心安神,生鐵落飲
水氣淩心證,心悸、眩暈、噁心嘔吐、形寒肢冷、氣短、小便不利、胸脘痞滿、渴而不欲飲,治宜益氣溫陽行水,桂枝甘草龍骨牡蠣湯
肝血虛證,面色蒼白、面色萎黃、形體消瘦、兩目乾澀、夜盲、視物模糊、眩暈、耳鳴、手足肢體麻木、筋脈拘急、爪甲不榮、月經量少、月經色淺淡、閉經、口唇淡白,治宜補血養肝,補肝湯
