Sym,Value
COVID19,0
一身面目悉黃,0
一般住院隔離病患（含無症帶原與初發作症狀者）,0
入夜更甚,0
下利清稀,0
下利粘液或便膿血,0
下腹部明顯,0
下腹脹痛,0
久瀉不愈,0
口不知味,0
口中粘膩,0
口舌生瘡,0
口舌糜爛,0
口咽乾燥,0
口苦,0
口苦咽乾,0
口苦粘膩,0
口唇青紫,0
口乾,0
口乾口臭,0
口乾喜熱飲,0
口乾煩渴,0
口乾煩渴喜飲,0
口眼窩斜,0
口渴,0
口渴喜冷飲,0
口鼻乾燥,0
口噦,0
口燥,0
口燥咽乾,0
大汗淋漓,0
大便時溏時瀉時輕時重,0
大便乾,0
大便乾結,0
大便乾燥秘結,0
大便清稀,0
大便粘滯不暢而門灼熱,0
大便溏泄,0
大便溏泄而惡臭,0
大熱煩渴,0
小便清長,0
小便清長而多,0
小便短赤,0
小便黃赤,0
小便頻數而清長,0
不易入睡,0
不思飲食,0
不喜溫暖,0
不發熱,0
中尿液遺出,0
五心煩熱,0
少氣,0
少寐,0
少痰,0
少腹牽引睾丸墜脹疼痛,0
少腹絞痛,0
引及兩脅痛,0
引臂內側痛,0
心中空虛,0
心中動悸,0
心中煩熱,0
心前區痛,0
心神不寧,0
心胸憋悶,0
心停不寧,0
心悸,0
心悸不寧,0
心悸怔忡,0
心悸氣短,0
心痛,0
心煩,0
心煩失眠,0
心煩頭眩,0
心煩頭腦,0
心煩懷愧,0
手足心熱,0
手足肢體麻木,0
爪甲脆而枯薄,0
牙眼腫痛或齒姐,0
乏力,0
功痛連協,0
加護病房患者（肺炎發作,0
右脅不舒,0
失眠,0
失眠多夢,0
未熱,0
目畏光,0
目眩,0
目眩畏光,0
目乾,0
目酸畏光,0
先有心悸氣短,0
全不思食,0
全身水腫,0
全身浮腫,0
危重症,0
吐出血色鮮紅或暗紫,0
吐血,0
吐後痛減,0
吐涎沫質清稀量多,0
吐痰,0
多畏善恐,0
多食善饑,0
多食腹脹腸鳴,0
多夢,0
早洩,0
耳鳴,0
耳鳴如潮,0
耳聾,0
自汗,0
自言自語,0
自覺心中空虛,0
舌紅,0
舌紅少津苔黃,0
舌紅少苔,0
舌紅苔少,0
舌紅苔黃膩,0
舌紅苔黃燥,0
舌苔白滑,0
舌苔膩,0
舌苔薄,0
舌苔薄白,0
舌瘦,0
舌質淡,0
舌質紫暗,0
舌體胖嫩,0
色白而稀,0
伴有腰膝痠軟,0
低熱,0
冷痛,0
努責難下,0
吞酸嘈雜,0
吸急促,0
吸氣為快,0
坐臥不安,0
夾有食物殘渣,0
尿少,0
尿血,0
局部冰冷,0
形寒,0
形寒足冷,0
形寒怯冷,0
形寒肢冷,0
形體消瘦,0
形體羸弱,0
抑鬱腹痛泄瀉,0
狂躁妄動,0
肛門灼熱,0
身痛,0
身腫,0
身熱不揚,0
並見腹痛,0
乳房脹痛,0
兩目昏花,0
兩目乾澀,0
呢逆暖氣,0
周身酸痛,0
呼多吸少,0
呼吸迫促,0
夜盲,0
夜寐不安,0
夜間多尿,0
夜夢紛紜,0
怔仲,0
怔忡,0
或小便失禁,0
抽搐,0
拒按,0
昏撲失語,0
易感冒,0
易驚,0
易驚恐,0
泄瀉,0
泛吐清水,0
泱泱不樂,0
肢冷,0
肢冷畏寒,0
肢體困重,0
便如黃水而工門灼熱,0
便赤,0
便物如醬,0
便秘,0
便乾結,0
便溏,0
咯痰,0
咯痰帶血,0
咯痰黃粘,0
咯痰黃稠少,0
咳吐涎沫質清稀量多,0
咳吐鮮血,0
咳甚胸痛,0
咳時胸脅引痛,0
咳唾,0
咳喘日久,0
咳黃稠痰,0
咳痰量多,0
咳嗽,0
咳嗽入夜尤甚,0
咳嗽少痰,0
咳嗽氣喘,0
咳嗽氣短,0
咳嗽陣作,0
咳嗽無力,0
咳嗽黃痰,0
咳嗽痰少,0
咳嗽痰稠而黃,0
咳嗽遇冷則甚,0
咽乾,0
咽乾舌燥,0
咽喉疼痛,0
咽喉乾燥,0
咽燥,0
急躁失眠,0
恢復,0
按之沒指,0
流清涕,0
甚則兩脇䐜脹難受,0
甚則便秘,0
畏風,0
畏寒,0
畏寒而手足心熱,0
